dateTime,u,v,ws,wd,wp
2009070101,-0.99,2.75,2.93,340.24,0.066
2009070102,-1.25,2.54,2.83,333.88,0.015
2009070103,-1.35,2.59,2.92,332.41,0.01
2009070104,-1.33,2.8,3.1,334.53,0.01
2009070105,-1.22,3.09,3.32,338.51,0.015
2009070106,-1.02,3.34,3.49,343.08,0.015
2009070107,-0.77,3.49,3.57,347.56,0.025
2009070108,-0.55,3.54,3.58,351.12,0.046
2009070109,-0.46,3.56,3.59,352.58,0.081
2009070110,-0.53,3.58,3.62,351.58,0.101
2009070111,-0.53,3.66,3.7,351.75,0.111
2009070112,-0.18,3.82,3.83,357.34,0.121
2009070113,0.69,4.09,4.14,9.64,0.111
2009070114,1.77,4.32,4.67,22.32,0.137
2009070115,2.63,4.36,5.09,31.07,0.106
2009070116,2.93,4.11,5.05,35.51,0.086
2009070117,2.8,3.71,4.65,37.01,0.056
2009070118,2.43,3.36,4.15,35.93,0.03
2009070119,2.04,3.2,3.8,32.49,0.02
2009070120,1.72,3.15,3.59,28.56,0
2009070121,1.55,3.07,3.44,26.75,0.005
2009070122,1.58,2.86,3.27,28.82,0.005
2009070123,1.64,2.57,3.05,32.48,0.01
2009070200,1.54,2.3,2.76,33.77,0
2009070201,1.14,2.11,2.4,28.44,0
2009070202,0.61,1.97,2.06,17.08,0
2009070203,0.16,1.85,1.86,5.02,0
2009070204,-0.03,1.69,1.69,359.08,0
2009070205,-0.06,1.51,1.51,357.78,0.02
2009070206,-0.09,1.29,1.3,355.89,0.015
2009070207,-0.24,1.06,1.09,347.17,0.005
2009070208,-0.41,0.84,0.93,333.66,0
2009070209,-0.47,0.65,0.8,324.11,0
2009070210,-0.3,0.5,0.59,329.06,0
2009070211,0.08,0.28,0.29,16.89,0
2009070212,0.65,-0.17,0.67,104.44,0
2009070213,1.33,-0.9,1.6,124.07,0
2009070214,1.89,-1.62,2.49,130.61,0
2009070215,2.08,-1.96,2.86,133.24,0
2009070216,1.77,-1.64,2.42,132.82,0
2009070217,1.34,-0.86,1.59,122.55,0
2009070218,1.29,0.11,1.3,85.03,0.005
2009070219,1.96,1.0,2.2,62.84,0
2009070220,2.95,1.66,3.38,60.68,0
2009070221,3.71,1.93,4.19,62.49,0
2009070222,3.85,1.78,4.24,65.23,0
2009070223,3.58,1.41,3.85,68.49,0.005
2009070300,3.25,1.12,3.43,70.93,0
2009070301,1.81,-0.03,1.81,91.1,0.005
2009070302,2.02,0.56,2.1,74.6,0.005
2009070303,2.35,0.99,2.55,67.12,0.02
2009070304,2.59,1.08,2.81,67.28,0.015
2009070305,2.75,0.93,2.91,71.35,0.035
2009070306,2.91,0.69,2.99,76.66,0.046
2009070307,3.09,0.49,3.13,80.96,0.03
2009070308,3.3,0.33,3.31,84.23,0.03
2009070309,3.49,0.17,3.49,87.15,0.046
2009070310,3.64,0.01,3.64,89.89,0.071
2009070311,3.77,-0.04,3.77,90.54,0.071
2009070312,3.91,0.21,3.91,86.9,0.091
2009070313,5.6,0.34,5.61,86.52,0.121
2009070314,6.04,0.33,6.05,86.84,0.126
2009070315,6.41,0.52,6.43,85.37,0.066
2009070316,6.63,1.01,6.71,81.38,0.106
2009070317,6.68,1.71,6.9,75.66,0.157
2009070318,6.52,2.5,6.98,69.04,0.238
2009070319,6.13,3.22,6.93,62.3,0.334
2009070320,5.61,3.65,6.7,56.96,0.258
2009070321,5.08,3.54,6.19,55.1,0.334
2009070322,4.63,2.76,5.39,59.21,0.399
2009070323,4.38,1.62,4.67,69.69,0.056
2009070400,4.39,0.54,4.43,82.97,0.081
2009070401,3.79,-0.83,3.87,102.3,0.091
2009070402,4.39,-0.51,4.42,96.69,0.283
2009070403,5.01,-0.23,5.01,92.68,0.253
2009070404,5.44,-0.11,5.44,91.16,0.278
2009070405,5.63,-0.13,5.63,91.28,0.349
2009070406,5.57,-0.23,5.58,92.32,0.278
2009070407,5.27,-0.37,5.28,94.0,0.283
2009070408,4.81,-0.56,4.85,96.59,0.298
2009070409,4.34,-0.8,4.41,100.47,0.222
2009070410,3.96,-1.11,4.11,105.6,0.228
2009070411,3.75,-1.41,4.01,110.57,0.248
2009070412,3.79,-1.63,4.13,113.3,0.359
2009070413,5.18,-1.28,5.33,103.85,0.45
2009070414,5.16,-1.67,5.42,107.95,0.344
2009070415,5.24,-1.86,5.56,109.58,0.339
2009070416,5.54,-1.68,5.79,106.84,0.177
2009070417,5.89,-1.24,6.02,101.88,0.177
2009070418,6.03,-0.76,6.08,97.14,0.217
2009070419,5.8,-0.43,5.82,94.24,0.207
2009070420,5.3,-0.43,5.31,94.6,0.349
2009070421,4.69,-0.9,4.78,100.91,0.238
2009070422,4.11,-1.92,4.54,114.99,0.131
2009070423,3.53,-3.1,4.7,131.26,0.066
2009070500,2.87,-3.98,4.91,144.18,0.015
2009070501,2.07,-2.32,3.11,138.24,0.015
2009070502,1.99,-0.42,2.04,101.98,0.025
2009070503,2.32,0.99,2.53,66.89,0.091
2009070504,3.04,1.2,3.27,68.44,0.238
2009070505,3.88,0.6,3.93,81.18,0.258
2009070506,4.51,-0.14,4.51,91.76,0.243
2009070507,4.68,-0.5,4.7,96.11,0.217
2009070508,4.5,-0.56,4.53,97.09,0.177
2009070509,4.16,-0.54,4.19,97.38,0.147
2009070510,3.82,-0.59,3.87,98.82,0.111
2009070511,3.51,-0.6,3.56,99.69,0.086
2009070512,3.22,-0.36,3.25,96.45,0.051
2009070513,3.65,0.41,3.67,83.63,0.01
2009070514,4.0,1.42,4.25,70.43,0
2009070515,4.35,2.46,5.0,60.55,0.02
2009070516,4.57,3.24,5.6,54.69,0.086
2009070517,4.66,3.62,5.9,52.15,0.157
2009070518,4.67,3.5,5.83,53.11,0.172
2009070519,4.62,2.84,5.43,58.44,0.243
2009070520,4.45,1.8,4.8,68.04,0.238
2009070521,4.05,0.59,4.1,81.76,0.248
2009070522,3.37,-0.56,3.41,99.45,0.278
2009070523,2.5,-1.4,2.86,119.33,0.167
2009070600,1.58,-1.68,2.31,136.9,0.111
2009070601,1.44,3.63,3.9,21.67,0.126
2009070602,1.95,3.01,3.59,32.9,0.096
