dateTime,u,v,ws,wd,wp
2009070101,2.34,-0.79,2.47,108.68,0.085
2009070102,2.18,-0.99,2.4,114.31,0.02
2009070103,2.2,-1.21,2.51,118.71,0.06
2009070104,2.35,-1.4,2.73,120.86,0.045
2009070105,2.53,-1.47,2.93,120.13,0.035
2009070106,2.66,-1.29,2.96,115.79,0.005
2009070107,2.69,-0.81,2.81,106.71,0
2009070108,2.72,-0.26,2.73,95.39,0
2009070109,2.87,0.08,2.87,88.5,0.01
2009070110,3.23,-0.01,3.23,90.19,0.025
2009070111,3.65,-0.33,3.66,95.15,0.03
2009070112,3.89,-0.6,3.94,98.71,0.01
2009070113,3.82,-0.59,3.86,98.85,0
2009070114,3.54,-0.35,3.56,95.62,0.01
2009070115,3.26,0.05,3.26,89.11,0
2009070116,3.11,0.51,3.15,80.78,0
2009070117,3.09,0.87,3.21,74.33,0
2009070118,3.13,0.97,3.28,72.75,0.005
2009070119,3.19,0.72,3.27,77.29,0
2009070120,3.17,0.21,3.18,86.2,0
2009070121,2.95,-0.4,2.98,97.73,0
2009070122,2.47,-0.97,2.66,111.41,0.005
2009070123,1.84,-1.41,2.32,127.38,0.015
2009070200,1.21,-1.64,2.04,143.67,0
2009070201,0.68,-1.63,1.76,157.32,0
2009070202,0.28,-1.47,1.5,169.2,0.01
2009070203,0.0,-1.33,1.33,179.91,0.01
2009070204,-0.16,-1.29,1.3,186.97,0
2009070205,-0.17,-1.31,1.32,187.54,0
2009070206,-0.01,-1.28,1.28,180.49,0
2009070207,0.32,-1.14,1.19,164.38,0
2009070208,0.63,-1.0,1.18,147.5,0
2009070209,0.7,-0.98,1.21,144.2,0.015
2009070210,0.39,-1.18,1.24,161.65,0.03
2009070211,-0.11,-1.47,1.47,184.24,0.01
2009070212,-0.5,-1.67,1.75,196.78,0
2009070213,-0.57,-1.66,1.76,198.89,0
2009070214,-0.31,-1.48,1.52,191.96,0
2009070215,0.19,-1.23,1.25,171.43,0
2009070216,0.85,-1.01,1.32,139.82,0.01
2009070217,1.58,-0.92,1.83,120.33,0.01
2009070218,2.26,-1.09,2.51,115.88,0.01
2009070219,2.78,-1.57,3.19,119.47,0.01
2009070220,3.07,-2.13,3.74,124.77,0.01
2009070221,3.07,-2.5,3.96,129.13,0.08
2009070222,2.75,-2.46,3.69,131.85,0.025
2009070223,2.3,-2.18,3.17,133.5,0.08
2009070300,1.93,-1.87,2.69,134.12,0.201
2009070301,1.65,-1.88,2.5,138.64,0.12
2009070302,1.94,-1.38,2.38,125.31,0.035
2009070303,2.27,-0.92,2.45,111.98,0.05
2009070304,2.46,-0.61,2.54,103.99,0.08
2009070305,2.5,-0.45,2.54,100.17,0.065
2009070306,2.42,-0.37,2.45,98.76,0.14
2009070307,2.28,-0.34,2.3,98.6,0.08
2009070308,2.29,-0.36,2.32,99.0,0.055
2009070309,2.7,-0.43,2.74,99.14,0.025
2009070310,3.65,-0.57,3.7,98.82,0.04
