dateTime,u,v,ws,wd,wp
2009070101,3.15,-2.15,3.81,124.27,0.105
2009070102,3.15,-1.9,3.68,121.07,0.033
2009070103,3.15,-1.85,3.66,120.49,0.022
2009070104,3.15,-1.94,3.7,121.62,0.039
2009070105,3.12,-2.04,3.72,123.22,0.066
2009070106,3.03,-2.05,3.66,124.11,0.105
2009070107,2.88,-1.89,3.45,123.27,0.017
2009070108,2.77,-1.61,3.2,120.18,0.017
2009070109,2.8,-1.29,3.09,114.74,0.006
2009070110,3.05,-1.01,3.21,108.32,0
2009070111,3.35,-0.8,3.44,103.38,0
2009070112,3.49,-0.68,3.55,100.95,0
2009070113,3.34,-0.65,3.4,101.04,0
2009070114,3.09,-0.66,3.16,102.01,0
2009070115,3.02,-0.61,3.08,101.43,0
2009070116,3.29,-0.45,3.32,97.83,0
2009070117,3.69,-0.25,3.7,93.91,0
2009070118,3.92,-0.11,3.93,91.61,0
2009070119,3.76,-0.11,3.76,91.63,0.017
2009070120,3.26,-0.26,3.27,94.49,0.05
2009070121,2.58,-0.55,2.64,102.12,0.033
2009070122,1.85,-0.97,2.09,117.54,0.044
2009070123,1.13,-1.32,1.74,139.44,0
2009070200,0.47,-1.43,1.5,161.75,0
2009070201,-0.09,-1.15,1.15,184.26,0
2009070202,-0.48,-0.64,0.8,217.02,0
2009070203,-0.65,-0.11,0.66,260.67,0
2009070204,-0.58,0.26,0.63,294.19,0
2009070205,-0.35,0.44,0.56,321.83,0
2009070206,-0.1,0.47,0.48,348.26,0
2009070207,0.06,0.36,0.37,8.82,0
2009070208,0.02,0.22,0.23,5.57,0
2009070209,-0.28,0.15,0.32,297.72,0
2009070210,-0.86,0.2,0.89,283.21,0
2009070211,-1.39,0.3,1.42,282.27,0
2009070212,-1.44,0.33,1.48,282.73,0
2009070213,-0.76,0.19,0.78,284.13,0
2009070214,0.42,-0.05,0.42,97.26,0
2009070215,1.7,-0.32,1.73,100.66,0
2009070216,2.77,-0.54,2.83,101.08,0.039
2009070217,3.54,-0.72,3.61,101.53,0.05
2009070218,3.97,-0.88,4.07,102.43,0.055
2009070219,4.07,-1.03,4.2,104.17,0.105
2009070220,3.92,-1.22,4.1,107.31,0.088
2009070221,3.62,-1.5,3.92,112.53,0.066
2009070222,3.26,-1.88,3.77,119.96,0.011
2009070223,2.85,-2.22,3.61,127.96,0
2009070300,2.36,-2.35,3.33,134.93,0
2009070301,1.95,-1.16,2.27,120.69,0
2009070302,1.62,-0.49,1.69,106.88,0
2009070303,1.54,-0.05,1.54,91.93,0
2009070304,1.84,0.01,1.84,89.63,0
2009070305,2.4,-0.21,2.41,94.99,0.039
2009070306,3.02,-0.57,3.08,100.62,0.072
2009070307,3.57,-0.93,3.68,104.6,0.143
2009070308,3.98,-1.24,4.17,107.29,0.154
2009070309,4.26,-1.46,4.5,108.93,0.072
2009070310,4.4,-1.58,4.68,109.69,0.171
2009070311,4.48,-1.65,4.78,110.26,0.176
2009070312,4.58,-1.79,4.92,111.34,0.094
2009070313,4.62,-2.25,5.14,115.95,0.055
2009070314,4.98,-2.14,5.41,113.23,0.066
2009070315,5.31,-2.15,5.73,112.03,0.105
2009070316,5.56,-2.41,6.06,113.39,0.347
2009070317,5.69,-2.79,6.34,116.16,0.573
2009070318,5.63,-3.14,6.45,119.15,0.441
2009070319,5.38,-3.32,6.32,121.7,0.347
2009070320,5.05,-3.4,6.09,124.0,0.518
2009070321,4.79,-3.5,5.93,126.17,0.468
2009070322,4.71,-3.69,5.98,128.1,0.452
2009070323,4.71,-3.91,6.12,129.72,0.364
2009070400,4.64,-4.05,6.16,131.17,0.187
2009070401,4.09,-4.01,5.73,134.43,0.165
2009070402,4.15,-3.72,5.57,131.9,0.264
2009070403,4.09,-3.45,5.35,130.19,0.65
2009070404,3.79,-3.27,5.01,130.71,0.595
2009070405,3.33,-3.12,4.56,133.08,0.38
2009070406,2.81,-2.94,4.07,136.28,0.386
2009070407,2.34,-2.7,3.58,139.08,0.088
2009070408,2.01,-2.46,3.17,140.71,0.006
2009070409,1.9,-2.29,2.98,140.3,0.011
2009070410,2.08,-2.28,3.09,137.6,0.05
2009070411,2.49,-2.42,3.47,134.14,0.171
2009070412,3.04,-2.68,4.06,131.41,0.132
2009070413,3.47,-3.4,4.86,134.43,0.105
2009070414,3.88,-3.56,5.26,132.54,0.127
2009070415,4.12,-3.67,5.52,131.66,0.182
2009070416,4.1,-3.79,5.59,132.7,0.116
2009070417,3.9,-3.87,5.49,134.78,0.061
2009070418,3.63,-3.85,5.29,136.63,0.039
2009070419,3.4,-3.65,4.99,137.02,0.033
2009070420,3.19,-3.23,4.54,135.33,0.061
2009070421,2.95,-2.52,3.88,130.51,0.028
2009070422,2.65,-1.51,3.05,119.76,0.006
2009070423,2.34,-0.39,2.37,99.51,0.022
2009070500,2.1,0.62,2.19,73.64,0.017
2009070501,1.69,0.85,1.89,63.12,0.039
2009070502,1.81,1.3,2.23,54.25,0.05
2009070503,1.97,1.62,2.56,50.57,0.05
2009070504,2.1,1.88,2.82,48.11,0.033
2009070505,2.18,2.08,3.01,46.29,0.039
2009070506,2.22,2.2,3.13,45.21,0.022
2009070507,2.23,2.24,3.16,44.85,0.154
2009070508,2.19,2.24,3.13,44.36,0.176
2009070509,2.07,2.25,3.06,42.66,0.127
2009070510,1.87,2.29,2.96,39.27,0.039
2009070511,1.69,2.27,2.83,36.6,0.006
2009070512,1.62,2.05,2.62,38.33,0
2009070513,2.58,-1.24,2.87,115.75,0
2009070514,2.8,-1.2,3.05,113.28,0
2009070515,3.07,-1.28,3.33,112.54,0
2009070516,3.36,-1.31,3.61,111.37,0
2009070517,3.56,-1.18,3.75,108.36,0
2009070518,3.59,-0.74,3.66,101.74,0.022
2009070519,3.38,0.04,3.38,89.37,0.017
2009070520,3.12,0.82,3.23,75.24,0.022
2009070521,3.03,1.17,3.25,68.8,0
2009070522,3.22,0.83,3.33,75.48,0.061
2009070523,3.41,0.26,3.42,85.7,0.039
2009070600,3.19,0.07,3.19,88.66,0.011
2009070601,0.7,0.02,0.7,88.14,0.088
2009070602,0.71,0.92,1.16,37.63,0.017
2009070603,0.93,1.69,1.93,28.9,0.006
2009070604,1.35,2.06,2.46,33.19,0.061
2009070605,1.88,1.97,2.73,43.59,0.017
2009070606,2.46,1.46,2.86,59.38,0
