dateTime,u,v,ws,wd,wp
2009070101,3.51,-2.43,4.27,124.75,0.257
2009070102,2.96,-2.12,3.65,125.63,0.178
2009070103,2.47,-2.02,3.19,129.29,0.109
2009070104,2.05,-2.06,2.9,135.14,0.079
2009070105,1.72,-2.11,2.72,140.85,0.099
2009070106,1.53,-2.07,2.57,143.52,0.069
2009070107,1.49,-1.86,2.38,141.17,0
2009070108,1.55,-1.62,2.24,136.2,0
2009070109,1.63,-1.55,2.25,133.67,0
2009070110,1.65,-1.78,2.43,137.08,0
2009070111,1.63,-2.1,2.66,142.1,0
2009070112,1.58,-2.24,2.74,144.79,0
2009070113,1.51,-1.99,2.49,142.77,0
2009070114,1.49,-1.44,2.07,134.12,0
2009070115,1.59,-0.78,1.77,116.04,0
2009070116,1.85,-0.14,1.85,94.41,0
2009070117,2.21,0.32,2.24,81.68,0
2009070118,2.59,0.5,2.63,79.09,0
2009070119,2.88,0.31,2.89,83.82,0
2009070120,2.96,-0.1,2.96,91.97,0
2009070121,2.71,-0.55,2.77,101.48,0
2009070122,2.09,-0.87,2.26,112.7,0
2009070123,1.41,-1.02,1.74,125.93,0
2009070200,1.06,-0.96,1.43,132.08,0
2009070201,1.31,-0.7,1.49,118.06,0.01
2009070202,1.83,-0.35,1.86,100.93,0.02
2009070203,2.12,-0.06,2.12,91.55,0.02
2009070204,1.87,0.08,1.87,87.48,0
2009070205,1.34,0.11,1.34,85.33,0
2009070206,0.93,0.1,0.94,83.74,0
2009070207,0.97,0.11,0.98,83.57,0
2009070208,1.36,0.05,1.36,87.78,0
2009070209,1.89,-0.18,1.89,95.39,0.02
2009070210,2.36,-0.64,2.45,105.19,0.049
2009070211,2.56,-1.19,2.82,114.93,0.04
2009070212,2.25,-1.62,2.77,125.77,0.059
2009070213,1.35,-1.79,2.24,142.93,0.079
2009070214,0.3,-1.72,1.75,170.12,0.079
2009070215,-0.33,-1.49,1.53,192.58,0.099
2009070216,-0.14,-1.18,1.19,186.76,0.099
2009070217,0.61,-0.89,1.08,145.83,0.099
2009070218,1.47,-0.73,1.64,116.47,0.099
2009070219,2.09,-0.77,2.23,110.2,0.178
2009070220,2.47,-0.96,2.65,111.27,0.247
2009070221,2.7,-1.24,2.97,114.58,0.178
2009070222,2.85,-1.52,3.23,118.06,0.237
2009070223,2.92,-1.76,3.41,121.08,0.366
2009070300,2.91,-1.92,3.48,123.36,0.415
2009070301,2.99,-2.56,3.94,130.54,0.267
2009070302,2.37,-2.56,3.49,137.25,0.138
2009070303,1.92,-2.5,3.15,142.44,0.128
2009070304,1.84,-2.39,3.02,142.42,0.178
2009070305,2.03,-2.28,3.05,138.24,0.267
2009070306,2.33,-2.19,3.2,133.21,0.227
2009070307,2.6,-2.16,3.38,129.74,0.208
2009070308,2.79,-2.19,3.55,128.07,0.178
2009070309,2.91,-2.27,3.69,128.0,0.158
2009070310,2.94,-2.41,3.8,129.24,0.168
2009070311,2.99,-2.6,3.96,130.99,0.138
2009070312,3.15,-2.86,4.25,132.28,0.099
2009070313,3.96,-3.2,5.09,128.92,0.148
2009070314,3.79,-3.5,5.15,132.71,0.168
2009070315,3.71,-3.54,5.13,133.7,0.267
2009070316,3.95,-3.29,5.14,129.78,0.336
2009070317,4.4,-3.0,5.32,124.26,0.237
2009070318,4.85,-3.0,5.71,121.72,0.099
2009070319,5.13,-3.5,6.21,124.33,0.128
2009070320,5.14,-4.19,6.63,129.22,0.188
2009070321,4.81,-4.63,6.68,133.91,0.188
2009070322,4.13,-4.5,6.11,137.45,0.049
2009070323,3.29,-3.98,5.16,140.42,0.049
2009070400,2.53,-3.37,4.22,143.09,0.148
2009070401,2.18,-2.68,3.45,140.96,0.079
2009070402,1.75,-2.66,3.18,146.71,0.089
2009070403,1.46,-2.74,3.11,151.96,0.168
2009070404,1.31,-2.81,3.1,154.93,0.148
2009070405,1.24,-2.79,3.06,156.01,0.04
2009070406,1.17,-2.64,2.89,156.15,0.059
2009070407,1.05,-2.35,2.58,156.01,0.326
2009070408,0.95,-2.07,2.28,155.28,0.346
2009070409,0.99,-1.98,2.22,153.4,0.455
2009070410,1.22,-2.21,2.53,151.12,0.257
2009070411,1.5,-2.68,3.07,150.66,0.247
2009070412,1.66,-3.22,3.62,152.76,0.049
2009070413,1.21,-3.73,3.92,162.07,0
